New Year Contest,143,"stevenkplus,New Year Contest,1,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,""greedy,sortings""
"
New Year Snowflake,144,"Petr,New Year Snowflake,0,F,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""geometry,sortings""
"
New Year Garland,145,"Petr,New Year Garland,1,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""combinatorics,dp""
"
Amusing Joke,146,"viper,Amusing Joke,0,A,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,""implementation,sortings,strings""
"
Hopscotch,147,"viper,Hopscotch,0,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""geometry,math""
"
Queue,148,"Al3kSaNdaR,Queue,1,C,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,""constructive algorithms,greedy,sortings""
"
Take-off Ramps,149,"daizhy,Take-off Ramps,1,D,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""graphs,shortest paths""
"
Clearing Up,150,"Luzan,Clearing Up,0,E,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,""constructive algorithms,dp,dsu,graphs""
"
Help General,151,"rgt0820,Help General,0,B,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,""constructive algorithms,greedy,implementation""
"
Help Farmer,152,"rgt0820,Help Farmer,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""brute force,math""
"
Help Shrek and Donkey 2,153,"rgt0820,Help Shrek and Donkey 2,1,D,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,games
"
Help Caretaker,154,"Kostroma,Help Caretaker,1,C,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,""brute force,dp""
"
Help Greg the Dwarf 2,155,"Alias,Help Greg the Dwarf 2,1,E,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,geometry
"
Help Vasilisa the Wise 2,156,"Luzan,Help Vasilisa the Wise 2,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""brute force,math""
"
Help Kingdom of Far Far Away 2,157,"Luzan,Help Kingdom of Far Far Away 2,1,B,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,""implementation,strings""
"
Arrival of the General,158,"Aman,Arrival of the General,0,A,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Meeting,159,"Aman,Meeting,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Anagram Search,160,"Aman,Anagram Search,1,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""implementation,strings""
"
Missile Silos,161,"vkg,Missile Silos,1,D,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,""data structures,dfs and similar,graphs,shortest paths""
"
Competition,162,"gamedeveloper,Competition,0,E,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,""data structures,greedy""
"
Lucky Conversion,163,"xiaowuc1,Lucky Conversion,1,A,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""greedy,implementation""
"
Lucky Number 2,164,"xiaowuc1,Lucky Number 2,1,B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,constructive algorithms
"
Lucky Subsequence,165,"xiaowuc1,Lucky Subsequence,0,C,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""combinatorics,dp,math""
"
Lucky Queries,166,"RAVEman,Lucky Queries,1,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data structures
"
Lucky Pair,167,"Komaki,Lucky Pair,0,D,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""combinatorics,data structures,implementation""
"
Lucky Ticket,168,"kissbuaa,Lucky Ticket,0,A,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,implementation
"
Lucky Mask,169,"kissbuaa,Lucky Mask,1,B,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,""brute force,implementation""
"
Punctuation,170,"nise_nabe,Punctuation,0,A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,""implementation,strings""
"
Smile House,171,"gomineral04,Smile House,0,B,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,""binary search,graphs,matrices""
"
Insomnia cure,172,"evil_fox,Insomnia cure,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""constructive algorithms,implementation,math""
"
Escape,173,"evil_fox,Escape,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,""implementation,math""
"
Terse princess,174,"evil_fox,Terse princess,1,C,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,""constructive algorithms,greedy""
"
Bag of mice,175,"vagnard,Bag of mice,0,D,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,""dp,games,math,probabilities""
"
Porcelain,176,"CezarMocan,Porcelain,0,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dp
"
Business trip,177,"temka,Business trip,0,A,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,""greedy,implementation,sortings""
"
Martian Clock,178,"temka,Martian Clock,0,B,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,implementation
"
