haas,119,"haas,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Andrew_Makar,120,"Andrew_Makar,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Alireza,121,"Alireza,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
KrK,122,"KrK,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
msg555,123,"msg555,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
tuananh93,124,"tuananh93,Homework,0,A,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,greedy
"
CroDoc,125,"CroDoc,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
kormyshov,126,"kormyshov,Homework,0,A,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,greedy
"
SkidanovAlex,127,"SkidanovAlex,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
pdwd,128,"pdwd,Homework,0,A,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Deamon,129,"Deamon,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
it4.kp,130,"it4.kp,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
sune2,131,"sune2,Homework,0,A,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,greedy
"
kontr,132,"kontr,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,greedy
"
mmaxio,133,"mmaxio,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
mbfilho91,134,"mbfilho91,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
nadeem,135,"nadeem,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Soultaker,136,"Soultaker,Homework,0,A,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Cepera,137,"Cepera,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
MSGM,138,"MSGM,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Piter,139,"Piter,Homework,0,A,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Dener,140,"Dener,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
fmm,141,"fmm,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
Ferlon,142,"Ferlon,Homework,0,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
UC2,143,"UC2,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
jthread,144,"jthread,Homework,1,A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,greedy
"
